id,name,birthdate,deathdate
1,50 Cent,06/07/1975,
2,A. Michael Baldwin,04/04/1963,
3,A. Raven Cruz,,
4,A.J. Buckley,09/02/1978,
5,A.J. DeLucia,,
6,A.J. Langer,22/05/1974,
7,Aaliyah,16/01/1979,25/08/2001
8,Aaron Ashmore,07/10/1979,
9,Aaron Hann,,
10,Aaron Hill,23/04/1983,
11,Aaron Hughes,,
12,Aaron Kwok,26/10/1965,
13,Aaron Schneider,,
14,Aaron Seltzer,12/01/1974,
15,Aaron Stanford,27/12/1976,
16,Aaron Staton,,
17,Aaron Yoo,12/05/1979,
18,Aasheekaa Bathija,,
19,Aasif Mandvi,05/03/1966,
20,Abbie Cornish,07/08/1982,
21,Abby Elliott,16/06/1987,
22,Abby Mukiibi Nkaaga,,
23,Abel Ferrara,19/07/1951,
24,Abhishek Bachchan,05/02/1976,
25,Abigail Evans,,
26,Abigail Spencer,04/08/1981,
27,Abraham Benrubi,04/10/1969,
28,Ace Marrero,28/07/1982,
29,Adam Alexi-Malle,24/09/1964,
30,Adam Arkin,19/08/1956,
31,Adam Baldwin,27/02/1962,
32,Adam Boyer,,
33,Adam Brooks,03/09/1956,
34,Adam Brown,,
35,Adam Butcher,20/10/1988,
36,Adam Carolla,27/05/1964,
37,Adam Copeland,30/10/1973,
38,Adam DiMarco,14/04/1990,
39,Adam Garcia,01/06/1973,
40,Adam Goldberg,25/10/1970,
41,Adam Green,31/03/1975,
42,Adam Hicks,28/11/1992,
43,Adam Jay Epstein,,
44,Adam Lamberg,14/09/1984,
45,Adam LeFevre,11/08/1950,
46,Adam Marcus,,
47,Adam McKay,17/04/1968,
48,Adam Rapp,15/06/1968,
49,Adam Ratcliffe,,
50,Adam Rayner,,
51,Adam Rifkin,31/12/1966,
52,Adam Sandler,09/09/1966,
53,Adam Scott,03/04/1973,
54,Adam Shankman,27/11/1964,
55,Adam Trese,04/01/1969,
56,Adel Karam,,
57,Adelaide Kane,09/08/1990,
58,Aden Young,,
59,Adhir Kalyan,04/08/1983,
60,Aditya Roy Kapoor,16/11/1985,
61,Adolphe Menjou,1890-02-18,29/10/1963
62,Adrian Alonso,06/04/1994,
63,Adrian Gonzalez,08/05/1938,23/10/1998
64,Adrian Holmes,31/03/1974,
65,Adrian Lester,14/08/1968,
66,Adrian Lyne,04/03/1941,
67,Adrian Martinez,,
68,Adrian Pasdar,30/04/1965,
69,Adrian Paul,29/05/1959,
70,Adriana Barraza,05/03/1956,
71,Adriana Caselotti,16/05/1916,19/01/1997
72,Adriane Lenox,11/09/1956,
73,Adriano Giannini,10/05/1971,
74,Adrien Dorval,22/03/1963,
75,Adrienne Barbeau,11/06/1945,
76,Adrienne Frantz,07/06/1978,
77,Adrienne King,21/07/1955,
78,Adrienne Pickering,22/02/1981,
79,Adrienne Shelly,24/06/1966,01/11/2006
80,Agame Malembo-Emene,,
81,Agata Kulesza,27/09/1971,
82,Agata Trzebuchowska,,
83,Agnes Bruckner,16/08/1985,
84,Agnes Moorehead,06/12/1900,30/04/1974
85,Agnia Ditkovskite,11/05/1988,
86,Agnieszka Holland,28/11/1948,
87,Agnieszka Wojtowicz-Vosloo,,
88,AgustÃ­n DÃ­az Yanes,,
89,Ah-sung Ko,10/08/1992,
90,Ahmad Massad,,
91,Ahmed Best,19/08/1973,
92,Ahmed Hassan,,
93,Ahmet Ertegun,31/07/1923,14/12/2006
94,Ahna O'Reilly,21/09/1984,
95,Ahney Her,,
96,Aida Elkashef,,
97,Aida Folch,24/11/1986,
98,Aida Turturro,25/09/1962,
99,Aidan McArdle,,
100,Aidan Quinn,08/03/1959,
101,Aidan Turner,19/06/1983,
102,Aimee Garcia,28/11/1978,
103,Aimee Teegarden,10/10/1989,
104,Aisha Hinds,13/11/1975,
105,Aisha Tyler,18/09/1970,
106,Aitana SÃ¡nchez-GijÃ³n,05/11/1968,
107,AJ Michalka,10/04/1991,
108,Ajay Naidu,12/02/1972,
109,Aki Aleong,19/12/1934,
110,Aki KaurismÃ¤ki,04/04/1957,
111,Akie Kotabe,18/07/1980,
112,Akima,,27/07/2014
113,Akira Kurosawa,23/03/1910,06/09/1998
114,Akira Terao,18/05/1947,
115,Akiva Goldsman,07/07/1962,
116,Akiva Schaffer,01/12/1977,
117,Akon,16/04/1973,
118,Aksel Hennie,29/10/1975,
119,Akshaye Khanna,28/03/1975,
120,Al Cliver,16/07/1951,
121,Al Franklin,,
122,Al Freeman Jr.,21/03/1931,09/08/2012
123,Al Gore,31/03/1948,
124,Al Leong,30/09/1952,
125,Al Pacino,25/04/1940,
126,Al Roker,20/08/1954,
127,Al Sapienza,31/07/1956,
128,Al Silliman Jr.,07/04/1941,
129,Alain Delon,08/11/1935,
130,Alain Resnais,03/06/1922,01/03/2014
