film_id,num_user,num_critic,imdb_score,num_votes,facebook_likes
3934,588,432,7.0999999,203461,46000
3405,285,267,6.4000001,149998,0
478,65,29,3.20000005,8465,491
74,83,25,7.5999999,7071,930
1254,1437,224,8,241030,13000
740,111,64,6.4000001,64742,0
4841,1058,579,8.10000038,479047,117000
2869,59,104,6.80000019,18442,689
3252,117,160,7.19999981,49855,10000
1181,163,99,7.30000019,16995,0
2020,402,145,6.69999981,91092,0
4152,371,359,5.9000001,108242,39000
3220,62,64,6.19999981,15780,2000
2312,251,161,5.80000019,63912,912
1820,113,41,7,8535,872
718,85,43,6.4000001,76850,1000
831,107,65,6.5999999,40126,975
1231,226,113,6.5,26034,0
1746,125,71,6.5999999,17261,455
3508,43,10,5.30000019,8598,250
1621,181,93,6,44913,3000
3197,143,128,4.80000019,33088,0
4464,5,10,4.80000019,241,261
3929,7,39,7.0999999,774,590
2183,18,33,4.5,3119,151
3298,53,83,7.4000001,6091,0
2392,156,111,5,51252,621
978,41,29,6.0999999,22748,666
3176,148,222,6.5999999,55597,4000
272,60,25,6.0999999,18140,855
2414,69,87,6.30000019,10052,0
2873,65,121,5.9000001,8867,0
2744,88,117,7.4000001,46076,11000
4013,8,13,5.4000001,133,424
4707,440,465,7.4000001,232187,47000
4592,34,59,5.30000019,5693,0
2379,90,34,6.5999999,19336,0
848,57,31,6.69999981,8531,591
308,134,52,6.9000001,48629,0
4210,111,217,6.9000001,31898,0
1492,377,131,6.5999999,52244,0
3879,55,162,7.30000019,15600,0
4094,150,239,6.80000019,47954,11000
3319,120,124,5.4000001,31191,0
302,152,75,6.19999981,31260,0
3854,316,481,7.5999999,148221,51000
1522,431,142,6.4000001,200260,0
1491,119,47,3.5999999,2855,663
1526,12,15,7.5999999,341,379
4501,37,129,6.5999999,8307,5000
143,64,15,7,3454,548
1048,207,78,5.9000001,6082,853
1943,866,301,8.19999981,692482,11000
877,98,43,6.0999999,13949,453
4362,,,4.30000019,28,17
2577,306,171,5.80000019,50170,773
3760,150,206,6.69999981,46813,12000
2331,43,38,7.30000019,6454,0
1762,10,8,5.80000019,191,7
3042,109,127,4.9000001,31640,791
2226,129,32,1.89999998,25371,0
2239,4,16,7.4000001,352,44
4769,110,224,5.80000019,28429,0
3016,1,5,7.4000001,59,18
783,283,72,5.80000019,81783,0
2676,238,173,5.5,32671,0
2471,214,112,7.0999999,30210,0
1379,498,169,7.30000019,135246,0
4442,343,292,7.9000001,221128,46000
2118,1624,287,7.9000001,361169,18000
4922,781,275,7.30000019,111609,89000
560,148,49,6.5999999,62037,0
2949,76,121,6.5,16224,830
4173,79,143,5.19999981,7384,0
2576,108,94,7.0999999,28068,0
1015,28,12,5.80000019,1686,161
3209,30,8,3.0999999,851,128
2094,69,50,5.69999981,10104,265
788,88,56,7.5,11612,0
1622,123,81,6.19999981,25572,2000
578,391,196,7.5,240241,0
368,152,84,7.0999999,71842,0
2274,148,118,6.19999981,17373,767
4516,1,6,7.4000001,70,45
1835,101,64,5.30000019,14315,201
1575,102,34,6.19999981,42644,0
671,31,12,5.9000001,8904,0
4714,186,256,5.80000019,39975,24000
3014,590,318,6.4000001,343648,0
1354,433,151,7.69999981,98354,0
1351,254,125,6,81888,0
2888,103,53,5.30000019,6267,368
1572,268,135,6.9000001,30339,0
4724,4,5,5.9000001,917,224
269,55,24,8.39999962,9852,0
613,319,81,7.5999999,181879,0
730,282,63,3.79999995,53115,0
1933,185,109,5.80000019,34942,1000
703,39,25,6.9000001,6011,905
3098,274,245,7.5,55842,13000
1577,207,83,6.19999981,19986,892
1733,350,167,6.5,57281,0
3149,52,33,4.80000019,4790,804
2635,441,163,5.69999981,65551,0
4314,42,68,8.10000038,6678,0
1655,43,52,6.30000019,3198,478
3700,411,436,6.5999999,180479,42000
4954,20,4,7.5999999,437,450
3619,17,4,3.5999999,912,502
3653,187,122,3.5,39095,16000
3318,42,113,7.80000019,7630,0
1792,40,32,4.5,5312,939
2179,1106,268,8.10000038,482064,14000
528,291,129,4.5,22961,1000
1934,116,81,5.5,49486,886
1686,121,75,5.30000019,15427,449
1078,109,48,6.9000001,36108,0
1263,123,74,6.69999981,22250,913
2470,232,168,7.4000001,43205,0
2863,626,318,8,473887,10000
4150,7,26,7.69999981,2112,0
35,29,7,7.5,1314,68
1662,131,56,5.30000019,7319,327
1320,696,203,7.30000019,137891,0
3590,86,138,6.19999981,47297,16000
3856,197,267,6,75864,23000
4246,233,354,7.5999999,76094,37000
420,95,59,5,30215,0
2944,34,90,6.9000001,3571,429
3222,174,167,6.19999981,60555,0
4634,322,343,7,103737,56000
1673,294,98,5.9000001,77684,0
2998,45,99,7,14301,0
1968,354,138,5.30000019,18632,656
2280,251,62,5.4000001,98794,0
4006,174,256,7.30000019,123553,25000
3955,110,332,7.0999999,29440,12000
4799,1,5,6.5,354,34
3165,39,76,5.30000019,10791,464
600,80,61,7.0999999,15103,2000
2144,978,205,7.5999999,187595,0
1885,568,176,6.4000001,86504,0
3377,69,147,5.69999981,19157,0
1935,369,140,4.9000001,25870,2000
2049,30,17,7.19999981,3480,396
4452,289,313,6.19999981,99035,17000
2444,1100,342,7.19999981,154938,10000
1443,346,149,7.30000019,43135,0
3642,733,453,8.30000019,544884,30000
4542,185,180,7.30000019,52894,55000
3733,230,272,6.0999999,37495,37000
1226,186,129,7.30000019,27543,607
4144,10,10,7.9000001,53,33
4746,4080,828,8.10000038,644227,1364147
759,92,26,6,85903,0
1527,81,41,6.4000001,9566,1000
326,211,127,6.9000001,29935,0
3178,6,3,6.30000019,397,143
1806,1331,252,7.69999981,399651,0
2804,235,84,7.5,52533,10000
1236,140,107,6,5442,339
328,515,215,7.9000001,281842,34000
4721,29,36,5.0999999,4099,0
1541,100,62,4.5999999,10966,365
2008,35,45,5.5999999,5674,329
4223,3,3,6.80000019,64,31
524,173,72,7.19999981,76842,4000
2650,101,37,3,8279,837
1486,318,129,6.69999981,90374,0
922,34,35,5.0999999,12942,902
691,460,122,8,163492,15000
2703,483,157,6.9000001,182757,19000
2747,113,63,4.19999981,15015,494
862,405,132,6.30000019,172217,0
4048,99,147,6.0999999,36029,14000
535,97,57,7.19999981,49007,0
954,64,53,5.19999981,63625,0
4448,2725,712,8.60000038,928227,349000
3082,1017,418,8,641997,13000
4917,29,39,4.69999981,4146,0
1547,2110,283,8.10000038,580999,33000
4363,15,30,4.30000019,2157,421
625,68,32,6.5999999,17124,949
972,243,73,6.80000019,220392,0
4224,2,11,5.0999999,322,81
2578,415,279,7.0999999,101221,0
4605,53,70,5,9418,0
4502,60,44,7.5,12672,0
2926,,,5.19999981,118,30
2528,76,58,5.69999981,28848,0
1399,61,52,5.5999999,3740,314
